id,seller_id,name,event_type,start,end,timezone,sell_start,sell_end,location,image,url,max_amount,max_per_order,min_per_order,hide_in_listing,child_events,tickets,categories,created_at,updated_at,seller_name,seller_category
64faecca6a00440629e46688,64e6444eb14ef65f4968770d,test,SINGLE,2023-09-27T22:00:00.000Z,2023-09-28T01:00:00.000Z,Europe/Amsterdam,2023-09-07T22:00:00.000Z,2023-09-27T22:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",,test-d11usm,100,1,1,False,[],[],[],2023-09-08T09:43:38.530Z,2023-09-08T09:43:38.530Z,Eventbilletten ApS,internal
6597170bad50956001794bf1,64e6444eb14ef65f4968770d,Test event Custom questions,SINGLE,2024-01-05T18:00:00.000Z,2024-01-05T21:00:00.000Z,Europe/Brussels,2024-01-03T23:00:00.000Z,2024-01-05T21:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/e38550bc-e92a-4866-af9c-1f7ce439f963.jpg,test-event-custom-questions-d1fjtd,100,10,1,False,[],"[{'id': '65971753679e20e629a8416b', 'name': 'Billet JELS', 'price': 0, 'amount': 100, 'active': True}, {'id': '6597176b679e20e629a8416c', 'name': 'Standard', 'price': 0, 'amount': 100, 'active': False}]","[{'id': '65971717679e20e629a84168', 'name': 'Standard kun mail ', 'ref': 'a13ab52a-10d0-4ef4-8f22-19c6ead9aeac', 'amount': 100, 'active': False}, {'id': '65971732679e20e629a8416a', 'name': 'Standard m. questions', 'ref': 'cc28eca6-13f8-4eda-942c-85fbc18b53fd', 'amount': 100, 'active': False}]",2024-01-04T20:37:31.660Z,2024-01-05T18:48:39.654Z,Eventbilletten ApS,internal
65c1e01a2825f61249f4785c,64e6444eb14ef65f4968770d,Sherif Haps og Guffe på tur,SINGLE,2024-02-10T11:00:00.000Z,2024-02-10T12:00:00.000Z,Europe/Brussels,2024-02-05T23:00:00.000Z,2024-02-10T11:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/82895275-adee-4678-9bad-226bc00ee336.png,sherif-haps-og-guffe-p-tur-p5rbez,400,10,1,False,[],"[{'id': '65c1e02f59b41bd966c8f9be', 'name': 'Voksen ', 'price': 150, 'amount': 400, 'active': True}, {'id': '65c1e03859b41bd966c8f9bf', 'name': 'Barn u/12år', 'price': 0, 'amount': 400, 'active': True}, {'id': '65c1e0a459b41bd966c8f9c1', 'name': 'T-shirt Large', 'price': 0, 'amount': 0, 'active': True}, {'id': '65c1e0ad59b41bd966c8f9c2', 'name': 'T-shirt XL', 'price': 0, 'amount': 0, 'active': True}]","[{'id': '65c1e02259b41bd966c8f9bd', 'name': 'Billetter', 'ref': '4f40f929-5ca4-494d-9079-05c899e1d975', 'amount': 400, 'active': False}, {'id': '65c1e04c59b41bd966c8f9c0', 'name': 'Merchendise', 'ref': '136e8719-3102-4b58-97dc-e049774daba2', 'amount': 200, 'active': False}]",2024-02-06T07:30:34.271Z,2024-02-06T07:34:19.834Z,Eventbilletten ApS,internal
658024329f2f40f19ec294af,64e6444eb14ef65f4968770d,test fra jannick profil Copy,SINGLE,2024-02-10T12:00:00.000Z,2024-02-10T14:00:00.000Z,Europe/Amsterdam,2023-12-18T08:00:00.000Z,2024-02-10T14:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",,test-fra-jannick-profil-copy-lqpxgg,500,10,1,False,[],"[{'id': '658024329f2f40f19ec294b0', 'name': 'Voksen', 'price': 0, 'amount': 500, 'active': True}, {'id': '658024329f2f40f19ec294b1', 'name': 'Barn', 'price': 30, 'amount': 500, 'active': True}, {'id': '658e9c50b8408716510e7ed3', 'name': 'Voksen', 'price': 0, 'amount': 500, 'active': True}, {'id': '659948403ae987a236e052ac', 'name': 'Voksen med beløb', 'price': 50, 'amount': 500, 'active': True}]","[{'id': '658024329f2f40f19ec294b2', 'name': 'Entre', 'ref': 'c7860b30-4298-4b4e-9a98-eeef79a140df', 'amount': 500, 'active': False}, {'id': '658e9c37b8408716510e7ed2', 'name': 'Ståpladser', 'ref': '965f9d36-9667-41b4-bb47-9e05c882c272', 'amount': 500, 'active': False}]",2023-12-18T08:50:46.994Z,2024-02-05T22:06:10.401Z,Eventbilletten ApS,internal
653793f3dbb02b8069b92232,64e6444eb14ef65f4968770d,Test: Std. event,SINGLE,2024-03-29T13:00:00.000Z,2024-04-26T21:00:00.000Z,Europe/Brussels,2023-10-24T09:00:00.000Z,2024-04-26T17:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/ca740927-8bf2-4bcc-a382-b26ed8f87780.jpg,std-event-test-hbu2ut,100,20,1,True,[],"[{'id': '65379446729b2bb89c28beb1', 'name': 'Adult', 'price': 100, 'amount': 100, 'active': True}, {'id': '65379450729b2bb89c28beb2', 'name': 'Child', 'price': 10, 'amount': 100, 'active': True}, {'id': '66001067973f53cde9f03930', 'name': 'Gratis billet', 'price': 0, 'amount': 100, 'active': True}]","[{'id': '6537943b729b2bb89c28beb0', 'name': 'Entre', 'ref': 'ab9c88bf-ca29-4e74-9739-f69faebb3f09', 'amount': 100, 'active': False}]",2023-10-24T09:52:51.302Z,2024-04-22T09:44:56.773Z,Eventbilletten ApS,internal
65d46920661529333c82785f,64e6444eb14ef65f4968770d,Test: Std. event Copy,SINGLE,2024-04-06T17:00:00.000Z,2024-04-06T21:00:00.000Z,Europe/Brussels,2023-10-24T09:00:00.000Z,2024-04-06T17:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/ca740927-8bf2-4bcc-a382-b26ed8f87780.jpg,test-std-event-copy-z3ai9n,100,20,1,True,[],"[{'id': '65d46920661529333c827860', 'name': 'Voksen', 'price': 65, 'amount': 200, 'active': True}, {'id': '65d46920661529333c827861', 'name': 'Barn', 'price': 75, 'amount': 200, 'active': True}, {'id': '65d469dc15adfbc2d12cbcf2', 'name': 'Venteliste ', 'price': 0, 'amount': 200, 'active': False}]","[{'id': '65d46920661529333c827862', 'name': 'BIleltter', 'ref': 'ab9c88bf-ca29-4e74-9739-f69faebb3f09', 'amount': 200, 'active': False}, {'id': '65d469b115adfbc2d12cbcf1', 'name': 'Venteliste ', 'ref': 'fefd06b6-998f-4be1-a71a-bfd73a0d4236', 'amount': 200, 'active': False}]",2023-10-24T09:52:51.302Z,2024-03-26T13:57:39.140Z,Eventbilletten ApS,internal
66279f0a03311ccd760fdc85,64e6444eb14ef65f4968770d,Test recurring: Std. event,RECURRENCE,2024-04-24T11:00:01.763Z,2024-04-24T12:00:01.763Z,Europe/Brussels,2024-03-26T23:00:01.763Z,2024-04-24T11:43:01.763Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/ca740927-8bf2-4bcc-a382-b26ed8f87780.jpg,test-recurring-std-event-co91nb,100,20,1,True,[],"[{'id': '66279e922a235a0451ee780e', 'name': 'Adult', 'price': 100, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee780f', 'name': 'Child', 'price': 10, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee7810', 'name': 'Gratis billet', 'price': 0, 'amount': 100, 'active': True}]","[{'id': '66279e922a235a0451ee7811', 'name': 'Entre', 'ref': 'ab9c88bf-ca29-4e74-9739-f69faebb3f09', 'amount': 100, 'active': False}]",2024-04-23T11:44:10.821Z,2024-04-23T11:44:10.821Z,Eventbilletten ApS,internal
66279f0a03311ccd760fdc89,64e6444eb14ef65f4968770d,Test recurring: Std. event,RECURRENCE,2024-04-25T11:00:01.763Z,2024-04-25T12:00:01.763Z,Europe/Brussels,2024-03-27T23:00:01.763Z,2024-04-25T11:43:01.763Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/ca740927-8bf2-4bcc-a382-b26ed8f87780.jpg,test-recurring-std-event-x90zj3,100,20,1,True,[],"[{'id': '66279e922a235a0451ee780e', 'name': 'Adult', 'price': 100, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee780f', 'name': 'Child', 'price': 10, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee7810', 'name': 'Gratis billet', 'price': 0, 'amount': 100, 'active': True}]","[{'id': '66279e922a235a0451ee7811', 'name': 'Entre', 'ref': 'ab9c88bf-ca29-4e74-9739-f69faebb3f09', 'amount': 100, 'active': False}]",2024-04-23T11:44:10.826Z,2024-04-23T11:44:10.826Z,Eventbilletten ApS,internal
66279f0a03311ccd760fdc8d,64e6444eb14ef65f4968770d,Test recurring: Std. event,RECURRENCE,2024-04-26T11:00:01.763Z,2024-04-26T12:00:01.763Z,Europe/Brussels,2024-03-28T23:00:01.763Z,2024-04-26T11:43:01.763Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/ca740927-8bf2-4bcc-a382-b26ed8f87780.jpg,test-recurring-std-event-q8ewu0,100,20,1,True,[],"[{'id': '66279e922a235a0451ee780e', 'name': 'Adult', 'price': 100, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee780f', 'name': 'Child', 'price': 10, 'amount': 100, 'active': True}, {'id': '66279e922a235a0451ee7810', 'name': 'Gratis billet', 'price': 0, 'amount': 100, 'active': True}]","[{'id': '66279e922a235a0451ee7811', 'name': 'Entre', 'ref': 'ab9c88bf-ca29-4e74-9739-f69faebb3f09', 'amount': 100, 'active': False}]",2024-04-23T11:44:10.829Z,2024-04-23T11:44:10.829Z,Eventbilletten ApS,internal
6536629fdbb02b80695a01f5,64e6444eb14ef65f4968770d,Test: Musik på Kulturmaskinen,SINGLE,2024-05-03T17:00:00.000Z,2024-05-03T20:00:00.000Z,Europe/Brussels,2023-10-22T22:00:00.000Z,2024-05-03T17:00:00.000Z,"{'name': 'Eventbilletten ApS', 'street': 'Syvstjernen 8', 'city': 'Munkebo', 'postal': '5330', 'country': 'DK'}",https://s3.eu-central-1.amazonaws.com/yt-s3/8681c1e2-2a05-4e9e-a428-8bd188a9c262.png,musik-p-kulturmaskinen-jep802,352,50,1,True,[],"[{'id': '65367d476e6036b5ae61760a', 'name': 'Adult', 'price': 10, 'amount': 352, 'active': True}, {'id': '65367d776e6036b5ae61760c', 'name': 'Adult', 'price': 5, 'amount': 150, 'active': True}, {'id': '65378fe1cb265c2407246a9d', 'name': 'Child', 'price': 5, 'amount': 352, 'active': True}, {'id': '65379123cb265c2407246a9f', 'name': 'Child', 'price': 0, 'amount': 150, 'active': True}]","[{'id': '65367d2f6e6036b5ae617609', 'name': 'Sal', 'ref': 'c73e5f6b-2935-4ed8-87fe-20e77e924ab2', 'amount': 352, 'active': False}, {'id': '65367d6b6e6036b5ae61760b', 'name': 'Balkon', 'ref': '4f100655-0f04-4274-9020-ecb514704e47', 'amount': 150, 'active': False}]",2023-10-23T12:10:07.431Z,2024-03-14T09:52:40.791Z,Eventbilletten ApS,internal
